T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
24.8,30,20,-,72,9.2,3.5,5.4,43.33333333333334
nan,nan,nan,nan,nan,nan,nan,nan,41.875
nan,nan,nan,nan,nan,nan,nan,nan,44.41666666666666
nan,nan,nan,nan,nan,nan,nan,nan,49.5
24.7,29.9,20.7,-,69,7.7,2.2,3.5,41.958333333333336
25.4,30.7,19.8,-,64,6.9,2.2,3.5,0.0
25.3,30.7,20.8,-,76,7.4,0.6,3.5,0.0
nan,nan,nan,nan,nan,nan,nan,nan,0.0
nan,nan,nan,nan,nan,nan,nan,nan,0.0
nan,nan,nan,nan,nan,nan,nan,nan,0.0
23.6,30.4,19.6,-,79,6.9,2.8,5.4,45.75
22.6,30.4,19.1,-,84,6.9,1.9,3.5,70.70833333333333
23.6,29.9,19.3,-,83,6.8,1.9,3.5,51.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,66.75
nan,nan,nan,nan,nan,nan,nan,nan,39.958333333333336
nan,nan,nan,nan,nan,nan,nan,nan,0.0
24.4,30,20.8,-,67,9.2,5,9.4,0.0
25.4,30.3,21.2,-,66,8.2,2.6,5.4,11.583333333333336
24,30.3,21.1,-,75,9.2,3.9,7.6,13.0
nan,nan,nan,nan,nan,nan,nan,nan,7.875
nan,nan,nan,nan,nan,nan,nan,nan,33.541666666666664
nan,nan,nan,nan,nan,nan,nan,nan,151.04166666666666
21.6,24.3,19.8,-,86,5.5,3.1,3.5,156.25
22,25.4,20.2,-,82,6.3,3.1,5.4,156.0
22.7,26.8,20.4,-,76,9.2,3.3,5.4,151.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,181.54166666666663
nan,nan,nan,nan,nan,nan,nan,nan,219.95833333333331
nan,nan,nan,nan,nan,nan,nan,nan,231.0
22,27.5,20.4,-,89,5.5,3.1,3.5,252.625
22.4,27.5,19.8,-,87,6.3,3.1,3.5,119.41666666666669
21.9,27.3,19.8,-,90,6.3,3,5.4,126.0
nan,nan,nan,nan,nan,nan,nan,nan,172.66666666666663
nan,nan,nan,nan,nan,nan,nan,nan,207.04166666666663
nan,nan,nan,nan,nan,nan,nan,nan,230.25
22,28.4,17.5,-,70,6.3,1.3,3.5,232.33333333333331
23.2,28.2,20,-,72,6.9,2.2,3.5,215.54166666666663
22.8,27.6,19.8,-,74,6.9,2,5.4,239.41666666666663
21.4,27.6,18.4,-,71,6.3,0.9,3.5,196.54166666666663
nan,nan,nan,nan,nan,nan,nan,nan,206.75
nan,nan,nan,nan,nan,nan,nan,nan,235.58333333333331
nan,nan,nan,nan,nan,nan,nan,nan,199.875
23.2,29.4,17.9,-,58,6.3,2,5.4,232.54166666666663
23,29.5,18.8,-,59,6.3,0.4,3.5,185.5
23.2,29.5,18.8,-,63,6.3,0.9,3.5,282.1666666666667
nan,nan,nan,nan,nan,nan,nan,nan,226.45833333333331
nan,nan,nan,nan,nan,nan,nan,nan,222.125
nan,nan,nan,nan,nan,nan,nan,nan,317.0
20.2,27.4,19.6,-,94,4,3.5,3.5,257.6666666666667
21.4,24.6,20.2,-,91,5.5,3.7,7.6,166.875
21.9,27.4,18,-,80,6.3,2.8,5.4,135.16666666666666
nan,nan,nan,nan,nan,nan,nan,nan,133.125
nan,nan,nan,nan,nan,nan,nan,nan,175.04166666666663
nan,nan,nan,nan,nan,nan,nan,nan,189.66666666666663
22.1,28.1,17.4,-,71,6.6,2.8,3.5,211.45833333333331
21.8,28,18.3,-,70,9.2,2.8,3.5,215.5
